Date,Open,High,Low,Close,Adj Close,Volume
2014-01-02,101.720001,102.389999,101.690002,102.169998,93.096565,8580800
2014-01-03,101.809998,102.449997,101.760002,102.169998,93.096565,4083800
2014-01-06,102.379997,103.000000,102.370003,102.599998,93.488365,7796200
2014-01-07,102.820000,102.989998,102.559998,102.860001,93.725273,4428100
2014-01-08,102.449997,102.690002,102.099998,102.580002,93.470123,8513000
2014-01-09,102.970001,103.209999,102.510002,103.180000,94.016838,6991100
2014-01-10,103.769997,104.540001,103.690002,104.410004,95.137627,13197400
2014-01-13,104.510002,105.139999,104.470001,104.930000,95.611450,9667400
2014-01-14,104.650002,104.830002,104.389999,104.449997,95.174088,10343100
2014-01-15,104.040001,104.510002,103.930000,104.339996,95.073875,7507500
2014-01-16,104.849998,105.070000,104.720001,105.040001,95.711655,7137700
2014-01-17,104.860001,105.519997,104.790001,105.480003,96.112625,7588600
2014-01-21,105.449997,105.739998,105.400002,105.559998,96.185493,6436000
2014-01-22,105.370003,105.750000,105.239998,105.300003,95.948578,4646700
2014-01-23,105.879997,107.089996,105.879997,106.790001,97.306259,12960600
2014-01-24,107.190002,107.489998,106.989998,107.480003,97.934959,11122200
2014-01-27,107.220001,107.599998,106.699997,106.730003,97.251602,9218200
2014-01-28,106.910004,106.989998,106.550003,106.989998,97.488480,5661500
2014-01-29,107.370003,108.150002,106.989998,107.870003,98.290337,11709400
2014-01-30,107.470001,107.669998,107.110001,107.559998,98.007874,5956900
2014-01-31,108.199997,108.410004,107.849998,108.279999,98.663956,14690900
2014-02-03,107.790001,109.339996,107.610001,109.320000,99.866135,20780300
2014-02-04,108.519997,108.669998,107.970001,108.160004,98.806458,9573500
2014-02-05,107.690002,107.779999,107.010002,107.160004,97.892899,10312200
2014-02-06,106.970001,107.019997,106.519997,106.699997,97.472702,5708700
2014-02-07,106.459999,107.220001,106.440002,106.790001,97.554916,7039200
2014-02-10,106.610001,107.120003,106.570000,107.089996,97.828957,4370500
2014-02-11,106.610001,106.690002,106.160004,106.470001,97.262581,5904900
2014-02-12,106.169998,106.209999,105.620003,105.919998,96.760155,6723300
2014-02-13,106.589996,106.730003,106.300003,106.519997,97.308250,6874600
2014-02-14,106.570000,106.639999,106.269997,106.580002,97.363068,4989100
2014-02-18,106.660004,107.199997,106.620003,106.820000,97.582329,4855800
2014-02-19,107.180000,107.180000,106.300003,106.370003,97.171234,5522500
2014-02-20,106.320000,106.629997,105.690002,106.110001,96.933708,5103200
2014-02-21,105.949997,106.680000,105.949997,106.669998,97.445305,5250700
2014-02-24,106.699997,106.739998,106.169998,106.400002,97.198662,3816700
2014-02-25,106.910004,107.360001,106.889999,107.349998,98.066490,6225400
2014-02-26,107.309998,107.919998,107.239998,107.919998,98.587196,7203900
2014-02-27,108.279999,108.559998,108.099998,108.510002,99.126183,5394700
2014-02-28,108.279999,108.739998,107.779999,108.570000,99.180962,8462600
2014-03-03,108.879997,109.180000,108.639999,109.029999,99.843056,11089400
2014-03-04,108.349998,108.349998,107.360001,107.389999,98.341270,8068100
2014-03-05,107.339996,107.779999,107.199997,107.620003,98.551872,4798500
2014-03-06,106.760002,106.970001,106.519997,106.559998,97.581184,7418200
2014-03-07,105.639999,106.169998,105.599998,105.889999,96.967651,8270300
2014-03-10,105.940002,106.110001,105.779999,106.040001,97.104980,3744300
2014-03-11,105.980003,106.339996,105.779999,106.320000,97.361404,3815700
2014-03-12,106.919998,107.260002,106.779999,107.059998,98.039063,6430500
2014-03-13,106.699997,108.529999,106.650002,108.500000,99.357719,11815500
2014-03-14,108.970001,108.980003,108.320000,108.519997,99.376045,9232800
2014-03-17,108.180000,108.300003,107.669998,107.709999,98.634262,7381900
2014-03-18,107.680000,108.150002,107.599998,108.099998,98.991409,4819500
2014-03-19,107.919998,107.980003,106.809998,107.260002,98.222206,11557600
2014-03-20,107.089996,107.629997,106.989998,107.070000,98.048233,5224400
2014-03-21,107.410004,108.320000,107.370003,108.230003,99.110474,8986200
2014-03-24,108.050003,109.089996,107.949997,109.000000,99.815590,7536400
2014-03-25,108.410004,108.820000,108.169998,108.589996,99.440147,5032000
2014-03-26,108.550003,109.480003,108.480003,109.440002,100.218521,7147200
2014-03-27,109.639999,110.389999,109.419998,109.989998,100.722160,9772200
2014-03-28,109.860001,109.889999,109.019997,109.370003,100.154404,6027000
2014-03-31,108.739998,111.070000,108.339996,109.099998,99.907158,7488400
2014-04-01,108.260002,108.360001,107.839996,107.889999,99.053329,9067300
2014-04-02,107.389999,107.550003,107.169998,107.269997,98.484131,6887200
2014-04-03,107.519997,107.940002,107.440002,107.739998,98.915634,4937400
2014-04-04,107.870003,108.690002,107.849998,108.459999,99.576660,8977500
2014-04-07,108.620003,109.290001,108.599998,109.110001,100.173424,7562500
2014-04-08,109.029999,109.470001,108.720001,109.370003,100.412125,4213800
2014-04-09,108.879997,109.349998,108.639999,108.830002,99.916351,5771500
2014-04-10,108.919998,110.220001,108.900002,109.839996,100.843597,12706400
2014-04-11,110.540001,110.790001,110.129997,110.730003,101.660744,10267000
2014-04-14,110.480003,110.699997,110.300003,110.440002,101.394493,4142600
2014-04-15,110.610001,111.510002,110.349998,111.129997,102.027962,7752000
2014-04-16,110.430000,111.269997,110.379997,111.269997,102.156487,5523000
2014-04-17,111.370003,111.449997,109.699997,110.050003,101.036415,8622500
2014-04-21,110.370003,110.620003,109.839996,109.959999,100.953789,4316300
2014-04-22,109.660004,110.489998,109.610001,110.330002,101.293472,5748700
2014-04-23,110.599998,111.050003,110.529999,110.959999,101.871887,5748600
2014-04-24,110.449997,111.209999,110.449997,111.169998,102.064720,6337800
2014-04-25,111.489998,111.989998,111.320000,111.330002,102.211594,5976500
